Page,District_Name,Issuer,Investment_Amount
3,Alaska 0th,ALASKA ST HSG FIN CORP,1087160000
3,Alaska 0th,ALASKA HSG FIN CORP MTG REV,862345000
3,Alaska 0th,ANCHORAGE ALASKA,763990000
3,Alaska 0th,ALASKA MUN BD BK ALASKA MUN BD BK AUTH,593375000
3,Alaska 0th,NORTHERN TOB SECURITIZATION CORP ALASKA TOB SET...,585780000
3,Alaska 0th,ALASKA ST,525625000
3,Alaska 0th,NORTH SLOPE BORO ALASKA,398225000
3,Alaska 0th,ALASKA HSG FIN CORP HOME MTG REV,397110000
3,Alaska 0th,ALASKA INDL DEV & EXPT AUTH REV,209440000
3,Alaska 0th,ALASKA ST INTL ARPTS REVS,198980000
3,Alaska 0th,MATANUSKA-SUSITNA BORO ALASKA LEASE REV,115090000
3,Alaska 0th,ANCHORAGE ALASKA SOLID WASTE SVCS REV,108760000
3,Alaska 0th,MATANUSKA-SUSITNA BORO ALASKA,106355000
3,Alaska 0th,UNIVERSITY ALASKA UNIV REVS,94580000
3,Alaska 0th,ANCHORAGE ALASKA WTR REV,80205000
3,Alaska 0th,ANCHORAGE ALASKA WASTEWTR REV,56835000
3,Alaska 0th,ALASKA INDL DEV & EXPT AUTH CMNTY PROVIDER REV,23336010
3,Alaska 0th,JUNEAU ALASKA CITY & BORO,20840000
3,Alaska 0th,COMMUNITY PPTYS ALASKA INC LEASE REV,19590000
3,Alaska 0th,ALASKA ST CTFS PARTN,12515000
3,Alaska 0th,ALASKA ST HSG FIN CORP REV,10000000
3,Alaska 0th,MATANUSKA-SUSITNA BORO ALASKA CTFS PARTN,8950000
3,Alaska 0th,ALASKA MUN BD BK AUTH,2625000
3,Alaska 0th,ALASKA MUN BD BK ALASKA MUN B BK AUTH,910000
7,Alabama 1st,BLACK BELT ENERGY GAS DIST ALA GAS PROJ REV,6259255000
7,Alabama 1st,SOUTHEAST ENERGY AUTH COMMODITY SUPPLY REV ALA,2904965000
7,Alabama 1st,ENERGY SOUTHEAST ALA COOP DIST ENERGY SUPPLY REV,2022760000
7,Alabama 1st,SOUTHEAST ALA GAS SUPPLY DIST GAS SUPPLY REV,1572865000
7,Alabama 1st,ALABAMA ST PUB SCH & COLLEGE AUTH,1533365000
7,Alabama 1st,BLACK BELT ENERGY GAS DIST ALA GAS SUPPLY REV,1053455000
7,Alabama 1st,ALABAMA FED AID HWY FIN AUTH SPL OBLIG REV,638215000
7,Alabama 1st,ALABAMA ST CORRECTIONS INSTN FIN AUTH REV,450610000
7,Alabama 1st,MOBILE ALA INDL DEV BRD POLLUTN CTL REV,419500000
7,Alabama 1st,ALABAMA ST,388180000
7,Alabama 1st,BLACK BELT ENERGY GAS DIST ALA GAS PREPAY REV,285370000
7,Alabama 1st,ALABAMA HSG FIN AUTH SINGLE FAMILY MTG REV,260000000
7,Alabama 1st,COLUMBIA ALA INDL DEV BRD POLLUTN CTL REV,254000000
7,Alabama 1st,INFIRMARY HEALTH SYS SPL CARE FACS FING AUTH MO...,188570000
7,Alabama 1st,WEST JEFFERSON ALA INDL DEV BRD POLLUTN CTL REV,174580000
7,Alabama 1st,MOBILE CNTY ALA BRD SCH COMMRS SPL TAX SCH WTS,160965000
7,Alabama 1st,MOBILE CNTY ALA,150520000
7,Alabama 1st,MOBILE ALA DOWNTOWN REDEV AUTH REV,140000000
7,Alabama 1st,BALDWIN CNTY ALA BRD ED,101710000
7,Alabama 1st,WEST JEFFERSON ALA INDL DEV BRD SOLID WASTE DIS...,98000000
7,Alabama 1st,ENTERPRISE ALA,91470000
7,Alabama 1st,WALKER CNTY ALA ECONOMIC & INDL DEV AUTH SOLID ...,88000000
7,Alabama 1st,MOBILE ALA DOWNTOWN REDEV AUTH GULF OPPORTUNITY...,87540000
7,Alabama 1st,SARALAND ALA,87250000
7,Alabama 1st,MOBILE CNTY ALA BRD SCH COMMRS,86885000
7,Alabama 1st,ALABAMA ST HWY FIN CORP SPL OBLIG REV,85230000
7,Alabama 1st,PELL CITY ALA SPL CARE FACS FING AUTH REV,83210000
7,Alabama 1st,COOPERATIVE DIST FT SPANISH ALA HWY 98 PUB FACS...,82445000
7,Alabama 1st,ALABAMA ECONOMIC SETTLEMENT AUTH BP SETTLEMENT REV,80925000
7,Alabama 1st,BIRMINGHAM ALA SPL CARE FACS FING AUTH REVS,79535000
7,Alabama 1st,BALDWIN CNTY ALA PUB BLDG AUTH BLDG REV,64415000
7,Alabama 1st,MOBILE ALA,64310000
7,Alabama 1st,ALABAMA ST PUB HEALTH CARE AUTH LEASE REV,63285000
7,Alabama 1st,FOLEY ALA UTILS BRD UTILS REV,50885000
7,Alabama 1st,HOUSTON CNTY ALA BRD ED SPL TAX SCH WTS,50655000
7,Alabama 1st,BALDWIN CNTY ALA,41895000
7,Alabama 1st,ORANGE BEACH ALA,37040000
7,Alabama 1st,UNIVERSITY MONTEVALLO ALA REVS,33885000
8,Alabama 1st,ANDALUSIA ALA,27775000
8,Alabama 1st,ALABAMA PRIVATE COLLEGES & UNIVS FACS AUTH REV,26350000
8,Alabama 1st,MOBILE ALA INDL DEV BRD SOLID WASTE DISP REV,25500000
8,Alabama 1st,DAPHNE ALA,25470000
8,Alabama 1st,MOBILE CNTY ALA LTD OBLIG,25265000
8,Alabama 1st,GULF SHORES ALA,25025000
8,Alabama 1st,CLARKE & MOBILE CNTYS ALA GAS DIST GAS REV,21190000
8,Alabama 1st,SARALAND ALA PUB EDL BLDG AUTH REV,20470000
8,Alabama 1st,SARALAND ALA CITY BRD ED SCH TAX WTS,20225000
8,Alabama 1st,DAPHNE ALA SPL CARE FACS FING AUTH REV,17100000
8,Alabama 1st,ENTERPRISE ALA BRD ED SPL TAX SCH WTS,16060000
8,Alabama 1st,OPP ALA,15990000
8,Alabama 1st,BAY MINETTE ALA,15950000
8,Alabama 1st,MOBILE ALA IMPT DIST SALES TAX REV,15225000
